symbol,fa_persons,fa_companies,lead_underwriters_norm,co_underwriters_norm,ipo_price,first_trade_date,open_d1,high_d1,low_d1,close_d1,close_d2,close_d3,close_d4,close_d5,close_1W,close_1M,close_3M,close_6M
2S,,คันทรี่ กรุ๊ป บล.บมจ.,['บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด']",1.9000,Wed Sep 02,2.5000,2.8600,2.5000,2.8600,3.1800,3.0000,2.8200,2.7800,2.8200,2.7600,2.9000,3.1000
88TH,นางสาว ภัทรานิษฐ์ ปุณยเจริญวัฒน์,บริษัท ไพโอเนีย แอดไวเซอรี่ จำกัด,['บริษัทหลักทรัพย์ ซีจีเอส อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด'],"['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ บียอนด์ จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอสบีไอ ไทย ออนไลน์ จำกัด']",5.4500,Fri Oct 03,12.0000,12.3000,7.9000,8.2000,7.0500,6.6000,6.7000,6.2500,6.3000,4.5000,4.4000,4.4000
A,,,['บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ทิสโก้ จำกัด', 'บริษัทหลักทรัพย์ นครหลวงไทย จำกัด', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ แอสเซท พลัส จำกัด', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']",9.0000,Thu Apr 01,4.5250,4.7750,4.3000,4.6000,4.3500,4.3250,4.0250,4.0500,4.0500,3.5250,2.4500,3.4250
AAI,นาย ทวีชัย ตั้งธนทรัพย์,บริษัท หลักทรัพย์ทิสโก้ จำกัด,"['บริษัทหลักทรัพย์ ทิสโก้ จำกัด', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ กสิกรไทย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)']",5.5500,Tue Nov 01,7.9000,9.0000,7.3000,8.9000,7.8500,8.2000,7.8500,7.4000,7.0500,7.6500,7.0500,4.8000
AAV,สันทัด สงวนดีกุล,ธนชาต จำกัด (มหาชน),"['บริษัทหลักทรัพย์ ซีไอเอ็มบี (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ กสิกรไทย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",3.7000,Thu May 31,4.0000,4.0000,3.7000,3.7000,3.3000,3.0400,3.2400,3.1200,3.1200,3.4000,3.4600,4.7000
ABM,นางสาว รัชนี ชาติบัญชาชัย,บริษัท เซจแคปปิตอล จำกัด,['บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)']",1.8000,Tue Feb 27,2.5200,2.5600,1.9500,2.0400,1.8000,1.7000,1.7700,1.7000,1.7000,1.4900,1.1700,1.0900
ACAP,,ฟาร์อีสท์ แคปปิตอล แอ๊ดไวเซอรี่ บจก.,['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ นครหลวงไทย จำกัด', 'บริษัทหลักทรัพย์ บีที จำกัด', 'บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมอร์ชั่น พาร์ทเนอร์ จำกัด']",7.0000,Wed Dec 14,7.7000,7.9000,6.8000,6.8000,7.2000,6.9500,7.2000,6.8000,7.0000,6.8500,7.0500,8.1500
ACE,นางสาว สุธางค์ คนศิลป,บริษัท หลักทรัพย์ทรีนีตี้ จำกัด,"['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']","['บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)']",4.4000,Wed Nov 13,4.5000,5.0500,4.4800,4.6400,4.2800,4.2000,4.5400,4.6400,4.5800,4.3800,3.0800,3.3600
ACG,นาย วิชา โตมานะ,บริษัท หลักทรัพย์ฟิลลิป (ประเทศไทย) จำกัด (มหาชน),['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",1.4400,Thu Jun 27,1.6600,1.7000,1.5600,1.5600,1.5900,1.4400,1.4900,1.5500,1.5100,1.5400,1.3700,1.0400
ADB,นาง สุนิต วิสุทธิโกศล,บริษัท หลักทรัพย์อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน),['บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)']",1.6900,Thu Nov 09,3.7000,3.7000,1.9600,2.1600,1.9600,1.8200,1.7500,1.7300,1.7000,1.4500,1.5500,1.4500
