symbol,Market,Industry Group (กลุ่มอุตสาหกรรม),Sector (หมวดธุรกิจ)
88TH,mai,สินค้าอุปโภคบริโภค,-
AAI,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
ABM,mai,ทรัพยากร,-
ACE,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
ACG,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
ADB,mai,สินค้าอุตสาหกรรม,-
ADD,mai,บริการ,-
ADVICE,SET,บริการ,พาณิชย์
ALL,mai,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
ALLA,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
AMA,mai,บริการ,-
AMARC,SET,บริการ,บริการเฉพาะกิจ
AMR,SET,บริการ,สื่อและสิ่งพิมพ์
ANI,SET,บริการ,ขนส่งและโลจิสติกส์
APO,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
APP,mai,เทคโนโลยี,-
ARIN,mai,อสังหาริมทรัพย์และก่อสร้าง,-
ASAP,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
ASW,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
ATLAS,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
AU,mai,เกษตรและอุตสาหกรรมอาหาร,-
AURA,SET,สินค้าอุปโภคบริโภค,แฟชั่น
AWC,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
BAM,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
BBGI,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
BBIK,SET,บริการ,สื่อและสิ่งพิมพ์
BC,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
BCPG,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
BE8,mai,เทคโนโลยี,-
BGC,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์
BGRIM,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
BIS,mai,บริการ,-
BKA,mai,อสังหาริมทรัพย์และก่อสร้าง,-
BKGI,SET,บริการ,การแพทย์
BLC,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์
BLESS,mai,อสังหาริมทรัพย์และก่อสร้าง,-
BPS,mai,สินค้าอุตสาหกรรม,-
BRI,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
BTG,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
BVG,mai,เทคโนโลยี,-
CAZ,mai,อสังหาริมทรัพย์และก่อสร้าง,-
CEYE,mai,บริการ,-
CFARM,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
CH,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
CHAO,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
CHASE,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
CHAYO,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
CHIC,mai,บริการ,-
CIVIL,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
CMAN,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์
CMC,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
COCOCO,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
COMAN,mai,เทคโนโลยี,-
CPANEL,mai,อสังหาริมทรัพย์และก่อสร้าง,-
CPT,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
CPW,SET,บริการ,พาณิชย์
CRC,SET,บริการ,พาณิชย์
CRD,mai,อสังหาริมทรัพย์และก่อสร้าง,-
CREDIT,SET,ธุรกิจการเงิน,ธนาคาร
CV,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
D,mai,บริการ,-
DDD,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์
DEXON,mai,บริการ,-
DHOUSE,mai,อสังหาริมทรัพย์และก่อสร้าง,-
DITTO,SET,บริการ,สื่อและสิ่งพิมพ์
DMT,SET,บริการ,ขนส่งและโลจิสติกส์
DOD,mai,สินค้าอุปโภคบริโภค,-
DOHOME,SET,บริการ,พาณิชย์
DPAINT,mai,อสังหาริมทรัพย์และก่อสร้าง,-
DTCENT,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
ETC,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
ETE,mai,บริการ,-
ETL,SET,บริการ,ขนส่งและโลจิสติกส์
EURO,SET,สินค้าอุปโภคบริโภค,แฟชั่น
FLOYD,mai,อสังหาริมทรัพย์และก่อสร้าง,-
FM,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
FN,SET,บริการ,พาณิชย์
FTE,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
FTI,SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน
GABLE,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
GFC,mai,บริการ,-
GGC,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์
GLORY,mai,บริการ,-
GPI,SET,บริการ,สื่อและสิ่งพิมพ์
GULF,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
HANN,mai,บริการ,-
HENG,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
HL,mai,บริการ,-
HUMAN,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
I2,mai,เทคโนโลยี,-
ICN,SET,เทคโนโลยี,-
IDG,mai,เทคโนโลยี,-
