symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
2S,,,,,0.000000,,,,,,,,
88TH,231625000.0000,17833188.0000,59500000,28.000000,28.571429,44.670000,282860328.0000,61752934.0000,221107394.0000,479076936.0000,370094679.0000,55771969.0000,25913501.0000
A,,,,,0.000000,,,,,,,,
AAI,2358750000.0000,71553586.0000,637500000,30.000000,33.333333,,3563725926.0000,907537821.0000,2656188105.0000,4628452974.0000,,555218558.0000,
AAV,,,,,0.000000,,,,,,,,
ABM,135000000.0000,11671500.0000,,,0.000000,29.090000,764718293.0000,628850525.0000,135867768.0000,1294831862.0000,1250557306.0000,27510221.0000,45986496.0000
ACAP,,,,,0.000000,,,,,,,,
ACE,4479200000.0000,84660581.0000,1018000000,10.000000,0.000000,39.500000,,,,,,,
ACG,,,156000000,26.000000,0.000000,,,,,,,,
ADB,304200000.0000,15592295.0000,180000000,30.000000,0.000000,19.590000,,,,,,,
ADD,440000000.0000,22622000.0000,40000000,25.000000,0.000000,62.880000,183216265.0000,92656186.0000,90560079.0000,345526607.0000,302043462.0000,72365420.0000,39504864.0000
ADVICE,550800000.0000,23500000.0000,170000000,27.420000,0.000000,59.840000,2586247042.0000,2275470249.0000,310776793.0000,14395035621.0000,14310201567.0000,205672612.2000,430187507.0000
AEONTS,,,,,0.000000,,,,,,,,
AF,,,,,0.000000,,,,,,,,
AGE,,,,,0.000000,,,,,,,,
AH,,,,,0.000000,,,,,,,,
AIE,,,,,0.000000,,,,,,,,
AIRA,,,,,0.000000,,,,,,,,
AIT,,,,,0.000000,,,,,,,,
AKP,,,,,0.000000,,,,,,,,
AKR,,,,,0.000000,,,,,,,,
ALL,735000000.0000,31299500.0000,150000000,26.790000,0.000000,,6010403954.0000,5237931980.0000,772471974.0000,2342969419.0000,714502266.0000,343414613.0000,80801679.0000
ALLA,432000000.0000,14435600.0000,150000000,25.000000,0.000000,,,,,,,,
ALT,,,,,0.000000,,,,,,,,
AMA,1078920000.0000,38117386.0000,,,0.000000,23.000000,535015746.0000,139774038.0000,395241437.7000,506604016.0000,,86581094.0000,
AMANAH,,,,,0.000000,,,,,,,,
AMARC,348000000.0000,15901500.0000,120000000,28.570000,0.000000,0.730000,,,,,,,
AMATAV,,,,,0.000000,,,,,,,,
AMC,,,,,0.000000,,,,,,,,
AMR,1035000000.0000,49757500.0000,150000000,25.000000,0.000000,6.600000,1628709317.0000,1186019203.0000,442690114.0000,337156196.0000,1463001069.0000,29470514.0000,25564329.0000
ANAN,,,,,0.000000,,,,,,,,
ANI,2912379225.0000,127308190.0000,554738900,30.000000,0.000000,36.200000,10261902988.0000,6332047123.0000,3929855865.0000,6029371636.0000,2268145231.0000,1093144728.0000,159646787.0000
AOT,,,,,0.000000,,,,,,,,
APCO,,,,,0.000000,,,,,,,,
APCS,,,,,0.000000,,,,,,,,
APO,,,100000000,29.410000,0.000000,48.340000,330834656.0000,93691310.0000,237143346.0000,1528871671.0000,2096645169.0000,12988273.0000,28250309.0000
APP,196800000.0000,12789839.0000,80000000,28.570000,0.000000,57.140000,379393170.0000,286536954.0000,92856216.0000,738960534.0000,,75238457.0000,
ARIN,,,150000000,25.000000,0.000000,,900482547.0000,638631111.0000,261851436.0000,380142000.0000,389260499.0000,26054003.0000,37093020.0000
ARIP,,,,,0.000000,,,,,,,,
ARROW,,,,,0.000000,,,,,,,,
AS,,,,,0.000000,,,,,,,,
ASAP,636300000.0000,21534703.0000,210000000,31.820000,0.000000,,,,,,,,
ASCON,,,,,0.000000,,,,,,,,
ASEFA,,,,,0.000000,,,,,,,,
ASK,,,,,0.000000,,,,,,,,
ASN,,,,,0.000000,,,,,,,,
ASW,2022920000.0000,88285560.0000,206000000,27.070000,0.000000,33.550000,,,,,,,
ATLAS,1255260000.0000,55931495.0000,418420000,29.500000,0.000000,,,,,,,,
ATP30,,,,,0.000000,,,,,,,,
AU,742500000.0000,22552545.0000,165000000,22.800000,0.000000,66.100000,,,,,,,
AUCT,,,,,0.000000,,,,,,,,
AURA,3640600000.0000,88823288.0000,334000000,25.040000,0.000000,24.430000,10046127911.0000,7644391960.0000,2401735951.0000,22095373277.0000,19461847221.0000,591026190.0000,687889908.0000
AWC,41742000000.0000,785791167.0000,6957000000,22.470000,0.000000,40.000000,92759153000.0000,67561927000.0000,25197226000.0000,3031530000.0000,,207223000.0000,
BAFS,,,,,0.000000,,,,,,,,
BAM,7905000000.0000,458201832.0000,1535000000,50.900000,81.758958,,,,,,,,
BBGI,4548600000.0000,97615535.0000,433200000,30.000000,0.000000,,12731468067.0000,6227033988.0000,6504434079.0000,12570638190.0000,10012954644.0000,1111684664.0000,450323105.0000
BBIK,450000000.0000,18372000.0000,25000000,25.000000,0.000000,32.360000,167162944.0000,57078251.0000,110084693.0000,200530802.0000,171167668.0000,44285943.0000,32411874.0000
BC,,,167000000,32.940000,0.000000,40.000000,3487540084.0000,2954013517.0000,533526567.0000,556194328.0000,486700489.0000,61434056.0000,-15307377.0000
BCH,,,,,0.000000,,,,,,,,
BCPG,5900000000.0000,147750648.0000,590000000,29.600000,0.000000,0.000000,,,,,,,
BE8,500000000.0000,19229000.0000,50000000,25.000000,0.000000,41.570000,219558000.0000,124371000.0000,95187000.0000,87319000.0000,,17086000.0000,
BEAUTY,,,,,0.000000,,,,,,,,
BGC,,,194444000,28.000000,0.000000,,12970706342.0000,9936376541.0000,3034329801.0000,11221819358.0000,,251856295.0000,
BGRIM,10428800000.0000,411289280.0000,716900000,27.500000,0.000000,79.770000,76046551880.0000,64512477097.0000,11534074783.0000,27746866251.0000,23943072066.0000,2315869242.0000,347300887.0000
BGT,,,,,0.000000,,,,,,,,
BIS,564000000.0000,24626150.0000,94000000,29.940000,0.000000,13.000000,890193213.0000,639239764.0000,250953449.0000,1416584870.0000,1783709457.0000,19691895.0000,54445888.0000
BIZ,,,,,0.000000,,,,,,,,
BJCHI,,,,,0.000000,,,,,,,,
BKA,108000000.0000,12169000.0000,60000000,28.570000,0.000000,47.140000,243836757.4000,130172965.4000,113663792.0000,1142460869.0000,1313591692.0000,36816295.4300,22271879.5400
BKD,,,,,0.000000,,,,,,,,
BKGI,260800000.0000,15232400.0000,160000000,26.670000,0.000000,12.220000,293020955.0000,57202439.0000,235818516.0000,245389660.0000,304774497.0000,32141734.0000,75113123.0000
BLA,,,,,0.000000,,,,,,,,
BLC,1260000000.0000,60488651.0000,150000000,25.000000,20.000000,40.200000,1212623460.0000,931115906.0000,281507554.0000,1299519935.0000,1116225580.0000,129675028.0000,51128430.0000
BLESS,280000000.0000,9665000.0000,200000000,25.000000,0.000000,48.000000,2249715294.0000,1391139507.0000,858575786.6000,575916477.4000,906958064.5000,18590013.9200,114538228.6000
BLISS,,,,,0.000000,,,,,,,,
BLS,,,,,0.000000,,,,,,,,
BM,,,,,0.000000,,,,,,,,
BMCL,,,,,0.000000,,,,,,,,
BPP,,,,,0.000000,,,,,,,,
BPS,108000000.0000,5040000.0000,120000000,30.000000,0.000000,11.290000,354055138.0000,180114337.0000,173940801.0000,738772646.0000,679966947.0000,20088786.0000,20499203.0000
